Person descriptor result spotted for person: spanish - spanish artists, for search term: artistic
Person descriptor result spotted for person: old - old people driving bad, for search term: bad drivers
Person descriptor result spotted for person: old - old driver, for search term: bad drivers
Person descriptor result spotted for person: french - snooty french artist, for search term: snooty
Person descriptor result spotted for person: hispanic - hispanic florida residents, for search term: florida residents
Person descriptor result spotted for person: chinese - chinese good at math, for search term: good at math
Person descriptor result spotted for person: chinese - chinese good at math meme, for search term: good at math
Person descriptor result spotted for person: china - china cruel, for search term: cruel
Person descriptor result spotted for person: hispanic - hispanic florida residents, for search term: florida residents
Person descriptor result spotted for person: greek - greek servant, for search term: servant
Person descriptor result spotted for person: ireland - stingy jack from ireland, for search term: stingy
Person descriptor result spotted for person: jordan - jordan knight stingy, for search term: stingy
Person descriptor result spotted for person: mexican - mexican drunkard, for search term: drunkards
Person descriptor result spotted for person: man - modern drunkard man, for search term: drunkards
Person descriptor result spotted for person: men - men housekeepers, for search term: housekeeper
Person descriptor result spotted for person: man - housekeeper man, for search term: housekeeper
Person descriptor result spotted for person: black - black intelligence, for search term: intelligent
Person descriptor result spotted for person: india - wealthy india, for search term: wealthy
Person descriptor result spotted for person: black - black hair, for search term: blond
Person descriptor result spotted for person: french - french lazy, for search term: lazy
Person descriptor result spotted for person: black - black studious student, for search term: studious
Person descriptor result spotted for person: black - black intelligence, for search term: intelligent
Person descriptor result spotted for person: china - china artificial moon, for search term: artificial
Person descriptor result spotted for person: men - of mice and men crooks, for search term: crook
Person descriptor result spotted for person: men - crooks from of mice and men, for search term: crook
Person descriptor result spotted for person: egypt - crook egypt, for search term: crook
Person descriptor result spotted for person: man - the crooked man, for search term: crook
Person descriptor result spotted for person: egyptian - egyptian crook, for search term: crook
Person descriptor result spotted for person: egypt - ancient egypt crook, for search term: crook
Person descriptor result spotted for person: india - passionate india, for search term: passionate
Person descriptor result spotted for person: man - nerdy man, for search term: nerdy
Person descriptor result spotted for person: man - nerdy man pajamas, for search term: nerdy
Person descriptor result spotted for person: man - the quiet man, for search term: quiet
Person descriptor result spotted for person: japan - japan quiet, for search term: quiet
Person descriptor result spotted for person: man - treacherous man, for search term: treacherous
Person descriptor result spotted for person: chinese - treacherous chinese, for search term: treacherous
Person descriptor result spotted for person: man - shrewd man, for search term: shrewd
Person descriptor result spotted for person: mexican - mexican drug lords, for search term: drug lords
Person descriptor result spotted for person: african - african drug lord, for search term: drug lords
Person descriptor result spotted for person: colombian - colombian drug lord, for search term: drug lords
Person descriptor result spotted for person: american - american drug lord, for search term: drug lords
Person descriptor result spotted for person: mexican - mexican drug cartels, for search term: drug lords
Person descriptor result spotted for person: jamaican - jamaican drug lord, for search term: drug lords
Person descriptor result spotted for person: mexican - mexican drug lord captured, for search term: drug lords
Person descriptor result spotted for person: old - old drug lords, for search term: drug lords
Person descriptor result spotted for person: japan - ambitious japan, for search term: ambitious
Person descriptor result spotted for person: chinese - ambitious in chinese, for search term: ambitious
Person descriptor result spotted for person: girl - socially inept girl, for search term: socially inept
Person descriptor result spotted for person: american - american football, for search term: football player
