Person descriptor result spotted for person: greece - greece, for search term: violence prone
Person descriptor result spotted for person: chinese - chinese, for search term: tall
Person descriptor result spotted for person: old - old, for search term: florida residents
Person descriptor result spotted for person: kenyan - kenyan, for search term: drunkards
Person descriptor result spotted for person: irish - irish, for search term: drunkards
Person descriptor result spotted for person: black - black, for search term: drunkards
Person descriptor result spotted for person: man - man, for search term: wealthy
Person descriptor result spotted for person: south africa - south africa, for search term: wealthy
Person descriptor result spotted for person: india - india, for search term: wealthy
Person descriptor result spotted for person: mexico - mexico city, for search term: wealthy
Person descriptor result spotted for person: saudi - saudi arabia, for search term: wealthy
Person descriptor result spotted for person: saudi arabia - saudi arabia, for search term: wealthy
Person descriptor result spotted for person: chinese - chinese, for search term: good at math
Person descriptor result spotted for person: man - man, for search term: housekeeper
Person descriptor result spotted for person: old - old, for search term: housekeeper
Person descriptor result spotted for person: filipino - filipino, for search term: housekeeper
Person descriptor result spotted for person: spanish - spanish, for search term: housekeeper
Person descriptor result spotted for person: hispanic - hispanic, for search term: housekeeper
Person descriptor result spotted for person: old - old, for search term: florida residents
Person descriptor result spotted for person: man - man, for search term: cruel
Person descriptor result spotted for person: boy - boy, for search term: industrious
Person descriptor result spotted for person: man - man, for search term: lazy
Person descriptor result spotted for person: boy - boy, for search term: industrious
Person descriptor result spotted for person: man - man, for search term: successful
Person descriptor result spotted for person: egyptian - egyptian, for search term: crook
Person descriptor result spotted for person: egyptian - ancient egyptian, for search term: crook
Person descriptor result spotted for person: man - man, for search term: intelligent
Person descriptor result spotted for person: boy - boy, for search term: intelligent
Person descriptor result spotted for person: hispanic - hispanic, for search term: gang members
Person descriptor result spotted for person: old - old school, for search term: gang members
Person descriptor result spotted for person: man - man, for search term: intelligent
Person descriptor result spotted for person: boy - boy, for search term: intelligent
Person descriptor result spotted for person: white - white, for search term: smart
Person descriptor result spotted for person: white - white, for search term: rapper
Person descriptor result spotted for person: old - old school, for search term: rapper
Person descriptor result spotted for person: male - male, for search term: rapper
Person descriptor result spotted for person: american - american, for search term: materialistic
Person descriptor result spotted for person: mexican - mexican, for search term: drug lords
Person descriptor result spotted for person: colombia - colombia, for search term: drug lords
Person descriptor result spotted for person: philippines - philippines, for search term: drug lords
Person descriptor result spotted for person: black - black, for search term: drug lords
Person descriptor result spotted for person: brazil - brazil, for search term: drug lords
Person descriptor result spotted for person: boy - boy, for search term: caring
Person descriptor result spotted for person: white - white, for search term: sensual
Person descriptor result spotted for person: boy - boy, for search term: emotional
Person descriptor result spotted for person: man - man, for search term: emotional
Person descriptor result spotted for person: boy - boy, for search term: obedient
Person descriptor result spotted for person: german - german shepherd, for search term: obedient
Person descriptor result spotted for person: boy - boy, for search term: imaginative
Person descriptor result spotted for person: american - american, for search term: conservative
Person descriptor result spotted for person: canada - canada, for search term: conservative
Person descriptor result spotted for person: french - french, for search term: artist
